trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1241 690.00  0.00 800.00 520.00  0
  1  663 370.00  0.00 800.00 156.00  1
  2  737 410.00  0.00 800.00 520.00  0
  3  700 390.00  0.00 800.00 260.00  1
  4  629 350.00  0.00 800.00 520.00  0
  5  790 440.00  0.00 800.00 260.00  1
  6  772 430.00  0.00 800.00 260.00  1
  7  647 360.00  0.00 800.00 520.00  0
  8  790 440.00  0.00 800.00 260.00  1
  9  647 360.00  0.00 800.00 260.00  1
 10  647 360.00  0.00 800.00 260.00  1
 11  647 360.00  0.00 800.00 260.00  1
 12  647 360.00  0.00 800.00 260.00  1
 13  647 380.00  0.00 800.00 260.00  1
 14  647 380.00  0.00 800.00 260.00  1
 15  647 370.00  0.00 800.00 260.00  1
 16  647 340.00  0.00 800.00 260.00  1
 17  647 340.00  0.00 800.00 260.00  1
 18  647 350.00  0.00 800.00 260.00  1
 19  647 350.00  0.00 800.00 260.00  1
 20  647 360.00  0.00 800.00 260.00  1
 21  647 350.00  0.00 800.00 260.00  1
 22  880 490.00  0.00 800.00 260.00  1
 23  647 360.00  0.00 800.00 260.00  1
 24  647 340.00  0.00 800.00 260.00  1
 25  647 380.00  0.00 800.00 260.00  1
 26  647 340.00  0.00 800.00 260.00  1
 27  647 380.00  0.00 800.00 260.00  1
 28  647 380.00  0.00 800.00 260.00  1
 29  647 360.00  0.00 800.00 260.00  1
 30  647 340.00  0.00 800.00 260.00  1
 31  647 340.00  0.00 800.00 260.00  1
 32  647 380.00  0.00 800.00 260.00  1
 33  647 340.00  0.00 800.00 260.00  1
 34  647 370.00  0.00 800.00 260.00  1
 35  647 360.00  0.00 800.00 260.00  1
 36  647 370.00  0.00 800.00 260.00  1
 37  647 360.00  0.00 800.00 260.00  1
 38  647 370.00  0.00 800.00 260.00  1
 39  647 380.00  0.00 800.00 260.00  1
 40  647 340.00  0.00 800.00 260.00  1
 41  647 340.00  0.00 800.00 260.00  1
